"統計年月","縣市","行政區域","售電量度數"
"201601","台北市","文山區興安里",1421401
"201601","台北市","文山區興邦里",1103576
"201601","台北市","文山區興昌里",1765085
"201601","台北市","文山區興得里",1244356
"201601","台北市","文山區興豐里",1138108
"201601","台北市","文山區興福里",925007
"201601","台北市","文山區興光里",817978
"201601","台北市","文山區興家里",1372783
"201601","台北市","文山區興泰里",1077516
"201601","台北市","文山區興旺里",1815284
"201601","台北市","文山區興業里",1142894
"201601","台北市","文山區樟腳里",1126703
"201601","台北市","文山區樟林里",1014035
"201601","台北市","文山區樟樹里",890673
"201601","台北市","文山區樟文里",1114950
"201601","台北市","文山區樟新里",1101652
"201601","台北市","文山區政大里",2084609
"201601","台北市","文山區指南里",995805
"201601","台北市","文山區忠順里",938490
"201601","台北市","信義區安康里",3870221
"201601","台北市","信義區大道里",1395930
"201601","台北市","信義區大仁里",779492
"201601","台北市","信義區敦厚里",1257512
"201601","台北市","信義區富台里",1025821
"201601","台北市","信義區廣居里",1753172
"201601","台北市","信義區國業里",1509926
"201601","台北市","信義區惠安里",1589390
"201601","台北市","信義區嘉興里",796326
"201601","台北市","信義區景聯里",1237268
"201601","台北市","信義區景勤里",884928
"201601","台北市","信義區景新里",1863851
"201601","台北市","信義區黎安里",215320
"201601","台北市","信義區黎平里",1805613
"201601","台北市","信義區黎順里",1123512
"201601","台北市","信義區黎忠里",1006696
"201601","台北市","信義區六合里",2120552
"201601","台北市","信義區六藝里",765236
"201601","台北市","信義區三犁里",1905954
"201601","台北市","信義區三張里",2531101
"201601","台北市","信義區雙和里",1684323
"201601","台北市","信義區四維里",1052919
"201601","台北市","信義區四育里",1161336
"201601","台北市","信義區松光里",1170754
"201601","台北市","信義區松隆里",455793
"201601","台北市","信義區松友里",1253145
"201601","台北市","信義區泰和里",1985258
"201601","台北市","信義區五常里",846797
"201601","台北市","信義區五全里",1058361
"201601","台北市","信義區西村里",875107
"201601","台北市","信義區新仁里",1013108
"201601","台北市","信義區興隆里",801391
"201601","台北市","信義區興雅里",1515899
"201601","台北市","信義區雅祥里",980360
"201601","台北市","信義區永春里",1219170
"201601","台北市","信義區永吉里",971598
"201601","台北市","信義區長春里",1115889
"201601","台北市","信義區正和里",1222789
"201601","台北市","信義區中坡里",922813
"201601","台北市","信義區中行里",1511471
"201601","台北市","信義區中興里",1361339
"201601","台北市","中山區北安里",512323
"201601","台北市","中山區成功里",2882020
"201601","台北市","中山區大佳里",189770
"201601","台北市","中山區大直里",2252810
"201601","台北市","中山區復華里",1677153
"201601","台北市","中山區恆安里",1885808
"201601","台北市","中山區集英里",2069636
"201601","台北市","中山區劍潭里",798131
"201601","台北市","中山區江寧里",1791001
"201601","台北市","中山區江山里",1976747
"201601","台北市","中山區金泰里",2554826
"201601","台北市","中山區聚盛里",1686030
"201601","台北市","中山區聚葉里",1273591
"201601","台北市","中山區康樂里",1240145
"201601","台北市","中山區力行里",2349242
"201601","台北市","中山區龍洲里",925562
"201601","台北市","中山區民安里",1728402
"201601","台北市","中山區埤頭里",913697
"201601","台北市","中山區晴光里",2075901
"201601","台北市","中山區松江里",1842430
"201601","台北市","中山區下埤里",1777987
"201601","台北市","中山區新福里",1411315
"201601","台北市","中山區新生里",1540079
"201601","台北市","中山區新喜里",1146764
"201601","台北市","中山區新庄里",1173006
"201601","台北市","中山區行仁里",1687010
"201601","台北市","中山區行孝里",863491
"201601","台北市","中山區行政里",1433161
"201601","台北市","中山區興亞里",2155638
"201601","台北市","中山區永安里",2282017
"201601","台北市","中山區圓山里",1202953
"201601","台北市","中山區正得里",1613197
"201601","台北市","中山區正守里",928677
"201601","台北市","中山區正義里",2217496
