"行政區域","平均綜合所得","非營業用電_里變異","X2戶一宅比例...","綜合所得總額","平均數","中位數","第三分位數","總計.","博士比例","碩士比例","大學比例","大學以下比例","X2人一宅宅數比例...","X3人一宅宅數比例...","X1戶一宅比例...","X4戶一宅比例...","X5戶一宅比例...","X6戶以上一宅比例...","每戶平均老年人口數.人.","無老年人口戶數比例...","二位老年人口戶數比例...","三位以上老年人口戶數比例...","二名老年人口宅數比例...","喪偶比例...","平均教育程度","扶養比","成年人平均綜合所得","碩士以下","博士以下","碩博比例","老年比例","戶均用電","零售排名","商家比例","公園數量比例","公園佔地比例","分群","離群"
"北投區中心里",342.066077314954,157.846604321884,0.141,2282949,1085,641,1275,6001,0.0145,0.0923,0.3433,0.5499,0.19,0.158,0.84,0.002,0.001,0,0.3,0.744,0.041,0.003,0.148,0.084,2.0575,0.335067013402681,456.681136227245,0.8932,0.9855,0.1068,0.291915175612989,723.085487077535,756,0.0559973492379059,0,0,2,0
"北投區中央里",317.534439744007,219.647938406549,0.171,2927350,1037,655,1243,7900,0.0094,0.0843,0.3003,0.6061,0.163,0.161,0.777,0.008,0.002,0.002,0.32,0.739,0.049,0.002,0.179,0.103,1.7916,0.351363236587511,429.104368220463,0.9064,0.9907,0.0937,0.303039158386908,1032.2974868498,1436,0.0189947399181765,0,0,2,0
"北投區中庸里",273.6953125,222.665009964251,0.188,1261188,907,598,1079,3988,0.0068,0.0667,0.2896,0.6369,0.185,0.169,0.757,0.013,0.002,0,0.37,0.693,0.063,0.001,0.234,0.11,1.6198,0.369797859690844,374.907253269917,0.9265,0.9932,0.0735,0.361738148984199,864.387133182844,1697,0.00507900677200903,0.000564334085778781,0.0502047248648391,1,0
"北投區洲美里",200.192680776014,106.892280138133,0.198,454037,752,541,936,1876,0.0069,0.0352,0.2319,0.726,0.085,0.078,0.326,0.105,0.081,0.14,0.33,0.74,0.068,0.002,0.2,0.119,1.2009,0.384615384615385,277.189865689866,0.9579,0.9931,0.0421,0.326460481099656,464.453608247423,0,0.00572737686139748,0,0,1,0
"北投區尊賢里",276.867733125244,176.42866498282,0.212,1419224,924,652,1175,4211,0.0078,0.0895,0.3094,0.5932,0.143,0.169,0.711,0.013,0.002,0.002,0.37,0.714,0.076,0.003,0.272,0.1,1.8448,0.45666382495027,403.303211139528,0.9026,0.9921,0.0973,0.351443123938879,829.777023203169,3052,0.0362195812110922,0,0,2,0
"大安區昌隆里",557.376742712294,263.552861291693,0.157,1759081,1426,767,1665,2899,0.0255,0.148,0.4146,0.4119,0.206,0.177,0.815,0.004,0.001,0,0.64,0.558,0.156,0.014,0.412,0.119,2.7759,0.487276154571159,828.973138548539,0.8265,0.9745,0.1735,0.628768303186908,1184.66925064599,1727,0,0.000861326442721792,0.0272302755910502,4,0
"大安區車層里",663.69307818807,308.978843796527,0.16,4439443,1800,859,1866,5680,0.0197,0.1518,0.4347,0.3938,0.19,0.167,0.801,0.01,0.002,0.001,0.51,0.62,0.11,0.009,0.284,0.093,2.8269,0.527168949771689,1013.57146118721,0.8285,0.9803,0.1715,0.495383380168607,1395.68125250903,351,0.00120433560818948,0,0,4,0
"大安區誠安里",576.381851681253,228.291508668565,0.147,2502650,1576,723,1365,3839,0.0219,0.1224,0.4035,0.4522,0.202,0.171,0.821,0.005,0.002,0,0.45,0.639,0.077,0.007,0.164,0.101,2.5455,0.423606557377049,820.540983606557,0.8557,0.9781,0.1443,0.438110749185668,1140.58197611292,761,0.0298588490770901,0.001085776330076,0.0420803797968033,3,0
"大安區大學里",522.874285714286,209.877903798967,0.191,4666653,1492,910,1784,7545,0.0535,0.185,0.4,0.3614,0.188,0.165,0.762,0.008,0.002,0,0.44,0.663,0.089,0.007,0.277,0.09,3.1915,0.498237367802585,783.389793520228,0.7614,0.9464,0.2385,0.42909604519774,1163.50960451977,281,0,0.000564971751412429,0.0124557731582945,4,0
"大安區德安里",602.303610048245,217.389356846158,0.172,3620447,1737,828,1802,5058,0.0245,0.1594,0.4251,0.3911,0.195,0.154,0.791,0.005,0.001,0,0.46,0.661,0.09,0.013,0.258,0.097,2.8773,0.506138812327737,907.152843898772,0.8162,0.9756,0.1839,0.44468085106383,1205.98936170213,364,0.0336170212765957,0.000851063829787234,0.0205585915272326,4,0
"大安區敦安里",689.105737947353,243.473619822365,0.182,4659733,1966,935,1913,5588,0.0259,0.1707,0.4143,0.389,0.184,0.167,0.763,0.007,0.002,0.001,0.45,0.665,0.1,0.006,0.336,0.076,2.9145,0.537517053206003,1059.51182355616,0.8033,0.974,0.1966,0.443502824858757,1130.64447134786,1397,0,0,0,4,0
"大安區敦煌里",574.912490421456,248.493303652341,0.158,3751304,1630,894,1824,5349,0.0262,0.1795,0.4292,0.3651,0.186,0.188,0.788,0.005,0.001,0.002,0.48,0.648,0.107,0.009,0.371,0.074,3.0296,0.559885249820703,896.797513746115,0.7943,0.9738,0.2057,0.460176991150442,1189.65486725664,987,0,0.000421407501053519,0.0215191539721601,4,0
"大安區法治里",462.978700282547,211.436617936055,0.168,2130165,1293,761,1480,4081,0.0198,0.1399,0.3889,0.4514,0.178,0.16,0.799,0.005,0,0.001,0.41,0.678,0.07,0.008,0.209,0.093,2.5732,0.393820054528931,645.308997273553,0.8403,0.9802,0.1597,0.395273899033298,953.993555316864,1319,0,0.000537056928034372,0.0158882060617163,3,0
"大安區芳和里",369.654587765957,168.740417518943,0.18,2223842,1119,716,1362,5306,0.0126,0.1101,0.3383,0.539,0.191,0.165,0.772,0.008,0.004,0.001,0.42,0.664,0.076,0.005,0.235,0.12,2.1272,0.394529439035698,515.494204914233,0.8773,0.9874,0.1227,0.414697034808767,947.434035238505,669,0.0803609798023206,0.000429737859905458,0.0229795960406161,3,0
"大安區福住里",646.9850531762,192.603906288869,0.212,4501722,1987,1011,2012,5415,0.0314,0.1982,0.4137,0.3568,0.143,0.168,0.709,0.011,0.004,0.001,0.38,0.717,0.074,0.006,0.217,0.081,3.1266,0.555207867679928,1006.19624497094,0.7705,0.9687,0.2296,0.364169108413562,896.35537881959,213,0.0636249476768522,0.000418585182084554,0.0124922330226519,4,0
