"行政區域","平均綜合所得","非營業用電_里變異","X2戶一宅比例...","綜合所得總額","平均數","中位數","第三分位數","總計.","博士比例","碩士比例","大學比例","大學以下比例","X2人一宅宅數比例...","X3人一宅宅數比例...","X1戶一宅比例...","X4戶一宅比例...","X5戶一宅比例...","X6戶以上一宅比例...","每戶平均老年人口數.人.","無老年人口戶數比例...","二位老年人口戶數比例...","三位以上老年人口戶數比例...","二名老年人口宅數比例...","喪偶比例...","平均教育程度","扶養比","成年人平均綜合所得","碩士以下","博士以下","碩博比例","老年比例","戶均用電","零售排名","商家比例","公園數量比例","公園佔地比例","分群","離群"
"大安區錦安里",592.410431873479,170.254501597595,0.213,3895691,1799,993,2011,5152,0.0429,0.1914,0.4136,0.3521,0.161,0.172,0.717,0.011,0.002,0.001,0.37,0.723,0.07,0.01,0.221,0.079,3.1889,0.552407932011331,919.662653446648,0.7657,0.9571,0.2343,0.365523083439221,842.639983058026,4343,0.0165184243964422,0.000423549343498518,0.00776244794271203,4,0
"大安區錦華里",491.489749430524,156.037963124399,0.22,3020696,1544,1001,1911,4818,0.0355,0.1926,0.4186,0.3533,0.14,0.188,0.688,0.018,0.005,0.001,0.34,0.736,0.069,0.005,0.247,0.065,3.1495,0.518280632411067,746.219367588933,0.7719,0.9645,0.2281,0.336274965164886,718.258708778449,211,0,0,0,4,0
"大安區錦泰里",555.733594771242,152.665496177995,0.213,2125681,1644,909,1869,3096,0.043,0.1841,0.4151,0.3579,0.152,0.159,0.687,0.018,0.009,0.002,0.42,0.683,0.08,0.007,0.202,0.084,3.152,0.550466153222537,861.6461289015,0.773,0.9571,0.2271,0.405147058823529,676.465441176471,4467,0.0919117647058824,0.000735294117647059,0.00833405794593351,4,0
"大安區黎和里",356.964547435136,150.692441714945,0.13,1802314,1094,723,1356,4498,0.0116,0.1098,0.3506,0.528,0.206,0.15,0.835,0.009,0.002,0,0.33,0.725,0.052,0.003,0.207,0.108,2.1656,0.330434782608696,474.918050065876,0.8786,0.9884,0.1214,0.319845857418112,905.582851637765,2997,0.361271676300578,0,0,2,0
"大安區黎孝里",346.682426404996,182.542677942016,0.168,2720417,1007,693,1292,6976,0.0122,0.1118,0.375,0.501,0.165,0.195,0.798,0.006,0,0,0.39,0.688,0.068,0.004,0.223,0.099,2.2806,0.33611442193087,463.207389749702,0.876,0.9878,0.124,0.368681863230922,992.087545424513,795,0,0.000330360092500826,0.00370432917274347,3,0
"大安區黎元里",257.911095554778,178.947202817622,0.183,1473704,841,627,1086,5049,0.0091,0.0893,0.2848,0.6168,0.172,0.168,0.769,0.009,0.001,0,0.36,0.703,0.061,0.001,0.274,0.118,1.7569,0.339428035630567,345.453352086263,0.9016,0.9909,0.0984,0.352826510721248,995.865009746589,1328,0,0.000974658869395711,0.0178764945946324,2,0
"大安區臨江里",286.615278733655,226.949271737256,0.192,1249356,937,635,1165,3821,0.0113,0.0845,0.3096,0.5946,0.187,0.148,0.769,0.009,0.002,0,0.37,0.691,0.059,0.003,0.234,0.112,1.8471,0.387332908975175,397.630808402292,0.9042,0.9887,0.0958,0.365701306076093,1009.66325951164,1813,0.00113571834185122,0.00056785917092561,0.0185527842678334,2,0
"大安區龍安里",594.374584717608,135.800774988291,0.231,5009389,2205,1007,2059,7000,0.037,0.1606,0.3659,0.4366,0.16,0.169,0.7,0.011,0.002,0.003,0.38,0.703,0.058,0.008,0.275,0.066,2.7602,0.516100017988847,901.131318582479,0.8025,0.9631,0.1976,0.365363735070575,764.473941368078,1560,0.00244299674267101,0.000271444082519001,0.0248474129539701,4,0
"大安區龍門里",664.847207361438,262.981084841574,0.198,3106831,1954,1002,2038,3789,0.0383,0.194,0.4386,0.3291,0.167,0.182,0.726,0.014,0.005,0.001,0.46,0.666,0.097,0.012,0.275,0.087,3.2631,0.573400673400673,1046.07104377104,0.7677,0.9617,0.2323,0.448954489544895,1359.88130381304,2619,0,0.000615006150061501,0.00273569178778256,4,0
"大安區龍坡里",520.026370799164,182.691768661579,0.185,3234044,1547,962,1959,5045,0.0614,0.2034,0.4083,0.3269,0.188,0.173,0.742,0.014,0.002,0.001,0.46,0.667,0.095,0.013,0.283,0.088,3.4062,0.548170276325616,805.089370176749,0.7352,0.9386,0.2648,0.451134380453752,1004.76221640489,432,0.0178883071553229,0.00087260034904014,0.0148400765636061,4,0
"大安區龍泉里",478.494330194119,151.796180403659,0.194,2489606,1407,878,1716,4164,0.0401,0.1818,0.384,0.3941,0.169,0.145,0.742,0.011,0.003,0.001,0.35,0.719,0.054,0.008,0.233,0.088,2.9877,0.487421383647799,711.722698684963,0.7781,0.9599,0.2219,0.339705882352941,781.994607843137,968,0.0274509803921569,0,0,4,0
"大安區龍生里",513.099112627986,169.18550667823,0.215,3758451,1575,966,1931,5809,0.0339,0.1761,0.4023,0.3877,0.148,0.166,0.709,0.015,0.003,0.002,0.38,0.71,0.072,0.007,0.19,0.08,2.9709,0.52381942999792,781.870397337217,0.79,0.9661,0.21,0.365061162079511,788.860474006116,1412,0.084480122324159,0.000764525993883792,0.0161661919876602,4,0
"大安區龍圖里",546.093042986425,194.81585018429,0.145,3861970,1521,862,1740,6165,0.0263,0.1607,0.4136,0.3994,0.205,0.178,0.807,0.008,0.001,0.001,0.41,0.687,0.079,0.009,0.265,0.09,2.8553,0.428398303373056,780.038376085639,0.813,0.9737,0.187,0.399501956599075,921.623977232302,1047,0.0426894343649947,0.000355745286374956,0.00563330892923646,4,0
"大安區龍淵里",451.228883096824,127.458616217282,0.254,4674280,1460,955,1914,8020,0.0397,0.1844,0.4027,0.3732,0.154,0.155,0.644,0.019,0.005,0.001,0.38,0.709,0.076,0.007,0.28,0.087,3.0745,0.565749697702539,706.511487303507,0.7759,0.9603,0.2241,0.373500856653341,613.967732724158,2983,0,0.000571102227298686,0.019332362561217,4,0
"大安區龍雲里",704.699609375,210.329204652495,0.17,3608062,2000,863,1830,4429,0.0201,0.1506,0.3938,0.4355,0.169,0.19,0.784,0.004,0.001,0.001,0.47,0.635,0.09,0.007,0.225,0.107,2.6597,0.459105158164719,1028.23083499573,0.8293,0.9799,0.1707,0.462545835515977,1285.67207962284,0,0,0.00104766893661603,0.0293341065582901,4,0
"大安區龍陣里",568.943067284119,251.057053572641,0.161,2088590,1566,883,1680,3251,0.0246,0.1449,0.4119,0.4186,0.198,0.17,0.812,0.004,0,0.001,0.46,0.647,0.095,0.006,0.271,0.082,2.7384,0.426184926184926,811.418026418026,0.8305,0.9754,0.1695,0.448087431693989,1109.13524590164,3149,0,0.00136612021857923,0.039549542283911,4,0
"大安區民輝里",936.277177724786,297.42526377506,0.144,6674720,2543,912,1962,6253,0.0312,0.1484,0.3961,0.4243,0.218,0.17,0.821,0.007,0.001,0,0.47,0.642,0.089,0.009,0.254,0.106,2.7556,0.448983739837398,1356.65040650407,0.8204,0.9688,0.1796,0.455836508486318,1393.77277450641,748,0.086248701073779,0.000692760651195012,0.0100818987813016,4,0
"大安區民炤里",761.640136374324,237.693947527038,0.192,6478511,2095,950,1979,7155,0.0312,0.1842,0.4154,0.3693,0.184,0.173,0.763,0.006,0.001,0,0.49,0.631,0.101,0.008,0.308,0.099,3.0476,0.526835397594687,1162.89912044516,0.7847,0.9689,0.2154,0.473765911207699,1270.11735485874,1288,0,0.000310462589257994,0.0111465654675387,4,0
"大安區全安里",785.781936887922,291.974201145582,0.131,3610668,2085,824,1772,3994,0.0183,0.1592,0.4372,0.3853,0.185,0.187,0.835,0.005,0.001,0.001,0.46,0.659,0.085,0.013,0.22,0.093,2.8687,0.441794791339818,1132.93630373392,0.8225,0.9817,0.1775,0.442139737991266,1257.9961790393,1170,0,0.000545851528384279,0.0119964726522391,4,0
"大安區群賢里",594.027048914804,227.875596768911,0.148,3667523,1606,787,1624,5397,0.0245,0.1543,0.4239,0.3973,0.192,0.16,0.813,0.006,0.003,0,0.43,0.658,0.073,0.008,0.188,0.103,2.8419,0.425536827522512,846.80743477257,0.8212,0.9755,0.1788,0.422659702691844,1228.92848533548,450,0.0791482523101647,0.000803535556448373,0.0153625189520459,4,0
"大安區群英里",414.193526543879,158.583835499325,0.194,3058405,1202,769,1580,6509,0.0243,0.1619,0.4128,0.401,0.177,0.198,0.758,0.006,0.001,0,0.36,0.713,0.059,0.006,0.197,0.112,2.8413,0.369690224448154,567.316824336858,0.8138,0.9757,0.1862,0.350282485875706,802.381189764041,0,0,0,0,3,0
"大安區仁愛里",958.878236029281,333.038935603024,0.15,5370677,2464,927,2038,4754,0.0246,0.1426,0.4417,0.391,0.197,0.162,0.807,0.008,0.002,0.001,0.52,0.615,0.1,0.014,0.264,0.098,2.8438,0.537891268533773,1474.6504667765,0.8327,0.9753,0.1672,0.500448430493274,1825.56322869955,43,0,0,0,4,1
"大安區仁慈里",787.016441171433,243.933920838479,0.173,4595389,2349,946,2075,4621,0.0292,0.1794,0.43,0.3614,0.17,0.203,0.784,0.004,0.002,0.001,0.38,0.71,0.071,0.009,0.212,0.086,3.0592,0.535366815671838,1208.35892716277,0.7914,0.9708,0.2086,0.366829268292683,1283.22097560976,1579,0.00048780487804878,0.00146341463414634,0.0332020686462997,4,0
"大安區通安里",391.457765667575,244.493013644643,0.182,2298640,1170,683,1353,5106,0.0106,0.1152,0.3549,0.5194,0.189,0.167,0.778,0.005,0.002,0.001,0.39,0.688,0.069,0.003,0.23,0.117,2.2062,0.39576895650107,546.384597100071,0.8743,0.9895,0.1258,0.369932432432432,1017.71537162162,1406,0.240287162162162,0,0,3,0
"大安區通化里",369.074677845055,220.903406809991,0.164,2377210,1128,646,1260,5626,0.0116,0.101,0.3336,0.5539,0.163,0.161,0.788,0.013,0.001,0.001,0.36,0.705,0.054,0.004,0.162,0.107,2.0448,0.376282051282051,507.950854700855,0.8875,0.9885,0.1126,0.350574712643678,1024.58735632184,245,0.537164750957854,0.000383141762452107,0.00999067493346396,2,0
"大安區臥龍里",485.84801980198,285.705579003628,0.179,981413,1437,778,1601,1773,0.0282,0.1607,0.3909,0.4202,0.186,0.139,0.777,0.011,0.003,0,0.46,0.64,0.078,0.007,0.269,0.123,2.7816,0.507462686567164,732.39776119403,0.8111,0.9718,0.1889,0.447724477244772,1447.69372693727,4101,0.001230012300123,0,0,4,1
"大安區新龍里",437.178924259056,161.654082478455,0.22,3186160,1334,849,1729,6019,0.0236,0.171,0.4353,0.3702,0.169,0.179,0.697,0.021,0.001,0.001,0.38,0.708,0.072,0.008,0.276,0.089,2.9796,0.466103399718367,640.94950714142,0.8055,0.9765,0.1946,0.363120030291556,776.628171147293,618,0.00530102234002272,0.000378644452858766,0.0243704724838149,4,0
"大安區學府里",303.417001338688,119.903728741277,0.14,906610,1176,713,1479,2472,0.1003,0.093,0.2371,0.5696,0.21,0.186,0.794,0.008,0.003,0.008,0.61,0.523,0.105,0.011,0.342,0.164,2.4091,0.580952380952381,479.687830687831,0.8067,0.8997,0.1933,0.600688468158348,767.376936316695,402,0,0.000860585197934596,0.000479606705136525,4,0
"大安區義安里",805.828561329092,286.806479545405,0.143,4559378,2185,900,2014,4894,0.0233,0.1635,0.4283,0.385,0.191,0.166,0.829,0.004,0,0.001,0.46,0.659,0.091,0.011,0.201,0.088,2.9039,0.448540706605223,1167.27547363031,0.8133,0.9768,0.1868,0.446363636363636,1264.105,427,0.0381818181818182,0.000909090909090909,0.0213789568810131,4,0
