"統計年月","縣市","行政區域","售電量度數"
"201501","台北市","北投區八仙里",1103618
"201501","台北市","北投區大同里",1187739
"201501","台北市","北投區大屯里",358190
"201501","台北市","北投區稻香里",1033314
"201501","台北市","北投區東華里",876388
"201501","台北市","北投區豐年里",649627
"201501","台北市","北投區福興里",1256929
"201501","台北市","北投區關渡里",2331777
"201501","台北市","北投區湖山里",590673
"201501","台北市","北投區湖田里",199978
"201501","台北市","北投區吉利里",1012177
"201501","台北市","北投區吉慶里",887611
"201501","台北市","北投區建民里",853833
"201501","台北市","北投區開明里",1240251
"201501","台北市","北投區立農里",1635692
"201501","台北市","北投區立賢里",1030248
"201501","台北市","北投區林泉里",763587
"201501","台北市","北投區奇岩里",2208599
"201501","台北市","北投區清江里",1518217
"201501","台北市","北投區泉源里",639351
"201501","台北市","北投區榮光里",1167189
"201501","台北市","北投區榮華里",1936440
"201501","台北市","北投區石牌里",1349432
"201501","台北市","北投區桃源里",983967
"201501","台北市","北投區溫泉里",1357862
"201501","台北市","北投區文化里",670308
"201501","台北市","北投區文林里",989297
"201501","台北市","北投區秀山里",612873
"201501","台北市","北投區一德里",1528645
"201501","台北市","北投區永和里",2770661
"201501","台北市","北投區永明里",944520
"201501","台北市","北投區永欣里",1806584
"201501","台北市","北投區裕民里",1776204
"201501","台北市","北投區長安里",1196755
"201501","台北市","北投區振華里",1554962
"201501","台北市","北投區智仁里",848322
"201501","台北市","北投區中和里",1280994
"201501","台北市","北投區中心里",1396957
"201501","台北市","北投區中央里",2247558
"201501","台北市","北投區中庸里",603566
"201501","台北市","北投區洲美里",211555
"201501","台北市","北投區尊賢里",748470
"201501","台北市","大安區昌隆里",872891
"201501","台北市","大安區車層里",2092747
"201501","台北市","大安區誠安里",1245517
"201501","台北市","大安區大學里",1839901
"201501","台北市","大安區德安里",1739025
"201501","台北市","大安區敦安里",1910884
"201501","台北市","大安區敦煌里",1715418
"201501","台北市","大安區法治里",1213252
"201501","台北市","大安區芳和里",1261457
"201501","台北市","大安區福住里",1440963
"201501","台北市","大安區古風里",1108861
